img_hash_str	image_path	image_info	image_human
9d55c2ea0f9718b8	data_image/mexico_earthquake/20_9_2017/910534117099372544_0.jpg	informative	rescue_volunteering_or_donation_effort
f916476946471a79	data_image/hurricane_maria/10_11_2017/929102592357134336_0.jpg	not_informative	not_humanitarian
fc0c8098f9afda70	data_image/hurricane_irma/19_9_2017/910053733056286721_0.jpg	not_informative	not_humanitarian
8d78666e2b912ce5	data_image/hurricane_harvey/9_9_2017/906328563988787200_0.jpg	not_informative	not_humanitarian
db2004fe33cd649b	data_image/hurricane_maria/21_9_2017/910697604219932672_0.jpg	informative	other_relevant_information
aeb286c5c11bc7e1	data_image/hurricane_irma/17_9_2017/909487593854783488_0.jpg	informative	rescue_volunteering_or_donation_effort
c5ad2bbb1242751d	data_image/hurricane_irma/18_9_2017/909796226169819140_1.jpg	informative	infrastructure_and_utility_damage
9acd361b391a3333	data_image/california_wildfires/21_10_2017/921623155835224064_3.jpg	not_informative	not_humanitarian
c0878e66c5a979f2	data_image/hurricane_maria/23_9_2017/911547016064278528_0.jpg	not_informative	not_humanitarian
fa6cdaa78493c491	data_image/mexico_earthquake/20_9_2017/910621512209539073_2.jpg	informative	rescue_volunteering_or_donation_effort
a17c7e585e4a7870	data_image/hurricane_irma/7_9_2017/905724288908525569_0.jpg	informative	other_relevant_information
f10a46b57d75460b	data_image/hurricane_irma/19_9_2017/909961062010753024_0.jpg	not_informative	not_humanitarian
f982fca340aa96cb	data_image/srilanka_floods/1_6_2017/870386986758156290_0.jpg	not_informative	not_humanitarian
813b3f93b991911b	data_image/hurricane_irma/17_9_2017/909425001933262848_0.jpg	not_informative	not_humanitarian
96b6276c8d78c256	data_image/hurricane_irma/17_9_2017/909452163801219072_0.jpg	informative	infrastructure_and_utility_damage
fce20364fd43505b	data_image/hurricane_irma/18_9_2017/909750116537458688_0.jpg	not_informative	not_humanitarian
b0b111cdce1e15cf	data_image/hurricane_irma/7_9_2017/905733588095823873_0.jpg	informative	infrastructure_and_utility_damage
ade464bf9a81916c	data_image/srilanka_floods/1_6_2017/870143714852655105_0.jpg	informative	other_relevant_information
951c29871df879a3	data_image/hurricane_harvey/10_9_2017/906687433739304960_0.jpg	informative	other_relevant_information
fe95807ac5b532c1	data_image/hurricane_maria/20_10_2017/921396636537856000_0.jpg	informative	rescue_volunteering_or_donation_effort
cdcc1ef1619ba113	data_image/hurricane_harvey/3_9_2017/904335673661972480_0.jpg	not_informative	not_humanitarian
c0941f6bf22d996a	data_image/california_wildfires/10_10_2017/917872088303718402_0.jpg	informative	infrastructure_and_utility_damage
c4c0b1312eeefa1b	data_image/hurricane_maria/20_9_2017/910559723770040326_1.jpg	informative	infrastructure_and_utility_damage
babf6c6343a49660	data_image/hurricane_harvey/5_9_2017/905100984891842560_0.jpg	informative	rescue_volunteering_or_donation_effort
c07a23943be71ce3	data_image/hurricane_harvey/5_9_2017/904985077779714049_0.jpg	not_informative	not_humanitarian
c72c5aeda418e762	data_image/hurricane_maria/23_10_2017/922474905538564096_0.jpg	informative	infrastructure_and_utility_damage
af81d45386bc278b	data_image/srilanka_floods/9_6_2017/873258014953938945_1.jpg	not_informative	not_humanitarian
f826dbf8cdaa00d8	data_image/hurricane_maria/5_10_2017/915973468201586689_1.jpg	not_informative	not_humanitarian
fc7211dccc441f2d	data_image/iraq_iran_earthquake/15_11_2017/930871077483327488_0.jpg	informative	other_relevant_information
9a892f8cd4de92c3	data_image/mexico_earthquake/20_9_2017/910562995247259649_0.jpg	informative	rescue_volunteering_or_donation_effort
f5f1f3784cc62068	data_image/hurricane_harvey/7_9_2017/905587789521145864_0.jpg	not_informative	not_humanitarian
af10d655522f8b55	data_image/mexico_earthquake/24_9_2017/911760035457503233_0.jpg	informative	rescue_volunteering_or_donation_effort
e9f9d61668cd5502	data_image/california_wildfires/16_10_2017/919962898054746112_0.jpg	informative	infrastructure_and_utility_damage
b54b69b2e13e191a	data_image/hurricane_maria/23_9_2017/911731131678171136_0.jpg	informative	other_relevant_information
870ffc22703dc378	data_image/mexico_earthquake/21_9_2017/910694845949366272_0.jpg	informative	infrastructure_and_utility_damage
a7bcc3d02b4bbc06	data_image/hurricane_maria/3_10_2017/915231662916669441_0.jpg	not_informative	not_humanitarian
b33807fb4a894be4	data_image/hurricane_harvey/10_9_2017/906788267894431744_0.jpg	informative	other_relevant_information
c6174cd363cf2079	data_image/hurricane_harvey/11_9_2017/907263757717516289_0.jpg	not_informative	not_humanitarian
8c9f1ef67cb041c8	data_image/iraq_iran_earthquake/13_11_2017/930079107873783808_0.jpg	informative	infrastructure_and_utility_damage
a4d398e0ea8b932f	data_image/hurricane_irma/18_9_2017/909831937686196226_0.jpg	not_informative	not_humanitarian
abf5d38b0e952449	data_image/hurricane_harvey/4_9_2017/904509055460188161_0.jpg	not_informative	not_humanitarian
faedc4c0532da6d0	data_image/hurricane_maria/24_9_2017/911777134204637184_0.jpg	informative	infrastructure_and_utility_damage
98b5e3ebd890162e	data_image/hurricane_maria/26_10_2017/923580700758102017_0.jpg	informative	infrastructure_and_utility_damage
ca2e4bd71f0ccc31	data_image/hurricane_maria/26_10_2017/923594177631408128_0.jpg	not_informative	not_humanitarian
9196efb1808cc7e6	data_image/hurricane_maria/21_10_2017/921767109113319424_0.jpg	not_informative	not_humanitarian
ea3e6a28c7c5c334	data_image/hurricane_maria/26_10_2017/923562965902725120_0.jpg	not_informative	not_humanitarian
d0cddbecb790050e	data_image/hurricane_harvey/3_9_2017/904253626457174016_3.jpg	informative	infrastructure_and_utility_damage
a3ab8ac43b19b5e1	data_image/california_wildfires/15_10_2017/919603827510190080_0.jpg	not_informative	not_humanitarian
d2b5a552349553ad	data_image/hurricane_harvey/3_9_2017/904357513914716160_0.jpg	not_informative	not_humanitarian
8da9e1c6f650c50f	data_image/iraq_iran_earthquake/13_11_2017/930015109270917120_0.jpg	not_informative	not_humanitarian
edecb4c5e481861e	data_image/mexico_earthquake/28_9_2017/913206186224357376_0.jpg	informative	rescue_volunteering_or_donation_effort
bf1f95b0e0e360e0	data_image/hurricane_harvey/27_8_2017/901822579362627584_1.jpg	informative	other_relevant_information
fb7ea47613d900b0	data_image/hurricane_maria/20_10_2017/921440313771671552_0.jpg	informative	other_relevant_information
d95946b43647cb38	data_image/hurricane_maria/21_10_2017/921824419504443393_0.jpg	not_informative	not_humanitarian
9614b5a18c9d7b93	data_image/hurricane_maria/21_10_2017/921850695359303681_0.jpg	not_informative	not_humanitarian
